YearWeekISO,Date,DisplayDate,TargetGroup,TargetGroupPop,FirstDose,SecondDose,FirstDoseTotal,SecondDoseTotal,FirstDoseTotalPct,SecondDoseTotalPct
2021-W04,2021-01-25,25/01/21,Age50_59,1515472.0,5402,12597,36769,13653,0.0243,0.009
2021-W04,2021-01-25,25/01/21,Age60+,3068849.0,59001,5310,136748,5698,0.0446,0.0019
2021-W04,2021-01-25,25/01/21,Age60_69,1291651.0,2634,4790,14478,5165,0.0112,0.004
2021-W04,2021-01-25,25/01/21,Age70_79,1003958.0,1255,130,3941,140,0.0039,0.0001
2021-W04,2021-01-25,25/01/21,Age80+,773240.0,55112,390,118329,393,0.153,0.0005
2021-W04,2021-01-25,25/01/21,Age<60,5795338.0,16570,30478,97636,33230,0.0168,0.0057
2021-W04,2021-01-25,25/01/21,HCW,274955.0,10578,34378,90947,37405,0.3308,0.136
2021-W04,2021-01-25,25/01/21,LTCF,28913.0,3929,405,11692,405,0.4044,0.014
2021-W05,2021-02-01,01/02/21,ALL,8864187.0,84785,41095,319192,80024,0.036,0.009
2021-W05,2021-02-01,01/02/21,Age18_24,782452.0,417,410,1702,546,0.0022,0.0007
2021-W05,2021-02-01,01/02/21,Age25_49,3497414.0,9494,18270,69076,37711,0.0198,0.0108
2021-W05,2021-02-01,01/02/21,Age50_59,1515472.0,4386,11361,41155,25014,0.0272,0.0165
2021-W05,2021-02-01,01/02/21,Age60+,3068849.0,70484,11052,207232,16750,0.0675,0.0055
2021-W05,2021-02-01,01/02/21,Age60_69,1291651.0,1999,4289,16477,9454,0.0128,0.0073
2021-W05,2021-02-01,01/02/21,Age70_79,1003958.0,779,1222,4720,1362,0.0047,0.0014
2021-W05,2021-02-01,01/02/21,Age80+,773240.0,67706,5541,186035,5934,0.2406,0.0077
2021-W05,2021-02-01,01/02/21,Age<60,5795338.0,14297,30041,111933,63271,0.0193,0.0109
2021-W05,2021-02-01,01/02/21,HCW,274955.0,9377,31996,100324,69401,0.3649,0.2524
2021-W05,2021-02-01,01/02/21,LTCF,28913.0,1300,2521,12992,2926,0.4493,0.1012
2021-W06,2021-02-08,08/02/21,ALL,8864187.0,53085,75295,372277,155319,0.042,0.0175
2021-W06,2021-02-08,08/02/21,Age18_24,782452.0,226,264,1928,810,0.0025,0.001
2021-W06,2021-02-08,08/02/21,Age25_49,3497414.0,7475,10318,76551,48029,0.0219,0.0137
2021-W06,2021-02-08,08/02/21,Age50_59,1515472.0,3238,5900,44393,30914,0.0293,0.0204
2021-W06,2021-02-08,08/02/21,Age60+,3068849.0,42144,58799,249376,75549,0.0813,0.0246
2021-W06,2021-02-08,08/02/21,Age60_69,1291651.0,1562,2209,18039,11663,0.014,0.009
2021-W06,2021-02-08,08/02/21,Age70_79,1003958.0,682,1265,5402,2627,0.0054,0.0026
2021-W06,2021-02-08,08/02/21,Age80+,773240.0,39900,55325,225935,61259,0.2922,0.0792
2021-W06,2021-02-08,08/02/21,Age<60,5795338.0,10939,16482,122872,79753,0.0212,0.0138
2021-W06,2021-02-08,08/02/21,HCW,274955.0,6487,10088,106811,79489,0.3885,0.2891
2021-W06,2021-02-08,08/02/21,LTCF,28913.0,1151,4228,14143,7154,0.4892,0.2474
2021-W07,2021-02-15,15/02/21,ALL,8864187.0,97921,74965,470198,230284,0.053,0.026
2021-W07,2021-02-15,15/02/21,Age18_24,782452.0,685,458,2613,1268,0.0033,0.0016
2021-W07,2021-02-15,15/02/21,Age25_49,3497414.0,8428,10876,84979,58905,0.0243,0.0168
2021-W07,2021-02-15,15/02/21,Age50_59,1515472.0,3333,5460,47726,36374,0.0315,0.024
2021-W07,2021-02-15,15/02/21,Age60+,3068849.0,85469,58168,334845,133717,0.1091,0.0436
2021-W07,2021-02-15,15/02/21,Age60_69,1291651.0,42905,2583,60944,14246,0.0472,0.011
2021-W07,2021-02-15,15/02/21,Age70_79,1003958.0,14668,1198,20070,3825,0.02,0.0038
2021-W07,2021-02-15,15/02/21,Age80+,773240.0,27896,54387,253831,115646,0.3283,0.1496
2021-W07,2021-02-15,15/02/21,Age<60,5795338.0,12446,16794,135318,96547,0.0233,0.0167
2021-W07,2021-02-15,15/02/21,HCW,274955.0,5990,10569,112801,90058,0.4103,0.3275
2021-W07,2021-02-15,15/02/21,LTCF,28913.0,899,3625,15042,10779,0.5203,0.3728
2021-W08,2021-02-22,22/02/21,ALL,8864187.0,104320,84137,574518,314421,0.0648,0.0355
2021-W08,2021-02-22,22/02/21,Age18_24,782452.0,271,409,2884,1677,0.0037,0.0021
2021-W08,2021-02-22,22/02/21,Age25_49,3497414.0,6737,9473,91716,68378,0.0262,0.0196
2021-W08,2021-02-22,22/02/21,Age50_59,1515472.0,2358,4387,50084,40761,0.033,0.0269
2021-W08,2021-02-22,22/02/21,Age60+,3068849.0,94951,69864,429796,203581,0.1401,0.0663
2021-W08,2021-02-22,22/02/21,Age60_69,1291651.0,45551,2017,106495,16263,0.0824,0.0126
2021-W08,2021-02-22,22/02/21,Age70_79,1003958.0,27093,765,47163,4590,0.047,0.0046
2021-W08,2021-02-22,22/02/21,Age80+,773240.0,22307,67082,276138,182728,0.3571,0.2363
2021-W08,2021-02-22,22/02/21,Age<60,5795338.0,9366,14269,144684,110816,0.025,0.0191
2021-W08,2021-02-22,22/02/21,HCW,274955.0,5979,9382,118780,99440,0.432,0.3617
2021-W08,2021-02-22,22/02/21,LTCF,28913.0,1183,1321,16225,12100,0.5612,0.4185
2021-W09,2021-03-01,01/03/21,ALL,8864187.0,151144,52462,725662,366883,0.0819,0.0414
2021-W09,2021-03-01,01/03/21,Age18_24,782452.0,517,221,3401,1898,0.0043,0.0024
2021-W09,2021-03-01,01/03/21,Age25_49,3497414.0,8059,7416,99775,75794,0.0285,0.0217
2021-W09,2021-03-01,01/03/21,Age50_59,1515472.0,3083,3211,53167,43972,0.0351,0.029
2021-W09,2021-03-01,01/03/21,Age60+,3068849.0,139482,41613,569278,245194,0.1855,0.0799
2021-W09,2021-03-01,01/03/21,Age60_69,1291651.0,58977,1534,165472,17797,0.1281,0.0138
2021-W09,2021-03-01,01/03/21,Age70_79,1003958.0,30149,655,77312,5245,0.077,0.0052
2021-W09,2021-03-01,01/03/21,Age80+,773240.0,50356,39424,326494,222152,0.4222,0.2873
2021-W09,2021-03-01,01/03/21,Age<60,5795338.0,11659,10848,156343,121664,0.027,0.021
2021-W09,2021-03-01,01/03/21,HCW,274955.0,7927,6516,126707,105956,0.4608,0.3854
2021-W09,2021-03-01,01/03/21,LTCF,28913.0,706,1201,16931,13301,0.5856,0.46
2021-W10,2021-03-08,08/03/21,ALL,8864187.0,151321,40766,876983,407649,0.0989,0.046
2021-W10,2021-03-08,08/03/21,Age18_24,782452.0,559,653,3960,2551,0.0051,0.0033
2021-W10,2021-03-08,08/03/21,Age25_49,3497414.0,7528,7652,107303,83446,0.0307,0.0239
2021-W10,2021-03-08,08/03/21,Age50_59,1515472.0,2639,3069,55806,47041,0.0368,0.031
2021-W10,2021-03-08,08/03/21,Age60+,3068849.0,140592,29390,709870,274584,0.2313,0.0895
2021-W10,2021-03-08,08/03/21,Age60_69,1291651.0,53043,1437,218515,19234,0.1692,0.0149
2021-W10,2021-03-08,08/03/21,Age70_79,1003958.0,49271,704,126583,5949,0.1261,0.0059
2021-W10,2021-03-08,08/03/21,Age80+,773240.0,38278,27249,364772,249401,0.4717,0.3225
2021-W10,2021-03-08,08/03/21,Age<60,5795338.0,10726,11374,167069,133038,0.0288,0.023
2021-W10,2021-03-08,08/03/21,HCW,274955.0,7062,4958,133769,110914,0.4865,0.4034
2021-W10,2021-03-08,08/03/21,LTCF,28913.0,1069,796,18000,14097,0.6226,0.4876
2021-W11,2021-03-15,15/03/21,ALL,8864187.0,99172,51819,976155,459468,0.1101,0.0518
2021-W11,2021-03-15,15/03/21,Age18_24,782452.0,327,280,4287,2831,0.0055,0.0036
2021-W11,2021-03-15,15/03/21,Age25_49,3497414.0,4327,6669,111630,90115,0.0319,0.0258
2021-W11,2021-03-15,15/03/21,Age50_59,1515472.0,1788,2340,57594,49381,0.038,0.0326
2021-W11,2021-03-15,15/03/21,Age60+,3068849.0,92681,42525,802551,317109,0.2615,0.1033
2021-W11,2021-03-15,15/03/21,Age60_69,1291651.0,34302,1279,252817,20513,0.1957,0.0159
2021-W11,2021-03-15,15/03/21,Age70_79,1003958.0,37224,19614,163807,25563,0.1632,0.0255
2021-W11,2021-03-15,15/03/21,Age80+,773240.0,21155,21632,385927,271033,0.4991,0.3505
2021-W11,2021-03-15,15/03/21,Age<60,5795338.0,6442,9289,173511,142327,0.0299,0.0246
2021-W11,2021-03-15,15/03/21,HCW,274955.0,3778,5728,137547,116642,0.5003,0.4242
2021-W11,2021-03-15,15/03/21,LTCF,28913.0,1384,1108,19384,15205,0.6704,0.5259
2021-W12,2021-03-22,22/03/21,ALL,8864187.0,79536,88757,1055691,548225,0.1191,0.0618
2021-W12,2021-03-22,22/03/21,Age18_24,782452.0,308,413,4595,3244,0.0059,0.0041
2021-W12,2021-03-22,22/03/21,Age25_49,3497414.0,4913,6932,116543,97047,0.0333,0.0277
2021-W12,2021-03-22,22/03/21,Age50_59,1515472.0,2052,2784,59646,52165,0.0394,0.0344
2021-W12,2021-03-22,22/03/21,Age60+,3068849.0,71371,78625,873922,395734,0.2848,0.129
2021-W12,2021-03-22,22/03/21,Age60_69,1291651.0,36414,1267,289231,21780,0.2239,0.0169
2021-W12,2021-03-22,22/03/21,Age70_79,1003958.0,20713,30013,184520,55576,0.1838,0.0554
2021-W12,2021-03-22,22/03/21,Age80+,773240.0,14244,47345,400171,318378,0.5175,0.4117
2021-W12,2021-03-22,22/03/21,Age<60,5795338.0,7273,10129,180784,152456,0.0312,0.0263
2021-W12,2021-03-22,22/03/21,HCW,274955.0,4010,6987,141557,123629,0.5148,0.4496
2021-W12,2021-03-22,22/03/21,LTCF,28913.0,1496,745,20880,15950,0.7222,0.5517
