new_cases_0_17,new_cases_18_39,new_cases_40_64,new_cases_65,new_deaths_0_17,new_deaths_18_39,new_deaths_40_64,new_deaths_65,date,icu_0_17,icu_18_39,icu_40_64,icu_65,DisplayDate,new_cases_0_64,new_cases_0_64_7day,new_cases_65_7day,max_new_cases_0_64,max_new_cases_65,new_cases_%_of_max_0_64,new_cases_%_of_max_65,icu_0_64,icu_0_64_7day,icu_65_7day,max_icu_0_64,max_icu_65,icu_%_of_max_0_64,icu_%_of_max_65,new_deaths_0_64,new_deaths_0_64_7day,new_deaths_65_7day,max_new_deaths_0_64,max_new_deaths_65,new_deaths_%_of_max_0_64,new_deaths_%_of_max_65,new_cases_65_7day_share,new_cases_0_64_7day_share
25.0,119.0,194.0,99.0,0.0,0.0,6.0,33.0,2021-01-11,0,10,121,219,11/01/21,338.0,535.4285714285714,127.14285714285714,6029.285714285715,786.0,0.08880464399952612,0.16175936023264267,131,143.0,235.0,315.7142857142857,521.7142857142857,0.45294117647058824,0.45043811610076673,6.0,6.714285714285714,34.857142857142854,16.857142857142858,68.28571428571429,0.3983050847457627,0.510460251046025,0.19189305735230702,0.808106942647693
59.0,264.0,373.0,137.0,0.0,0.0,5.0,22.0,2021-01-12,0,10,113,214,12/01/21,696.0,526.0,123.71428571428571,6029.285714285715,786.0,0.08724084824072977,0.1573973100690658,123,138.0,230.28571428571428,315.7142857142857,521.7142857142857,0.43710407239819005,0.4414019715224535,5.0,6.571428571428571,33.142857142857146,16.857142857142858,68.28571428571429,0.38983050847457623,0.48535564853556484,0.19041336851363236,0.8095866314863677
37.0,212.0,288.0,133.0,0.0,0.0,6.0,19.0,2021-01-13,0,10,112,218,13/01/21,537.0,509.85714285714283,120.42857142857143,6029.285714285715,786.0,0.08456344035066934,0.15321701199563795,122,133.85714285714286,226.0,315.7142857142857,521.7142857142857,0.4239819004524887,0.4331872946330778,6.0,6.285714285714286,30.142857142857142,16.857142857142858,68.28571428571429,0.3728813559322034,0.4414225941422594,0.19106980961015416,0.8089301903898459
41.0,188.0,247.0,112.0,0.0,1.0,8.0,24.0,2021-01-14,0,9,105,214,14/01/21,476.0,519.4285714285714,122.0,6029.285714285715,786.0,0.08615092998459897,0.15521628498727735,114,129.14285714285714,221.71428571428572,315.7142857142857,521.7142857142857,0.4090497737556561,0.42497261774370215,9.0,6.285714285714286,28.142857142857142,16.857142857142858,68.28571428571429,0.3728813559322034,0.41213389121338906,0.19020044543429843,0.8097995545657015
38.0,187.0,261.0,92.0,0.0,1.0,4.0,29.0,2021-01-15,0,9,104,206,15/01/21,486.0,507.85714285714283,114.42857142857143,6029.285714285715,786.0,0.08423172609880344,0.14558342420937842,113,124.85714285714286,216.42857142857142,315.7142857142857,521.7142857142857,0.39547511312217193,0.4148411829134721,5.0,5.571428571428571,26.714285714285715,16.857142857142858,68.28571428571429,0.33050847457627114,0.3912133891213389,0.18388429752066118,0.8161157024793388
33.0,170.0,203.0,104.0,0.0,0.0,4.0,16.0,2021-01-16,0,9,105,209,16/01/21,406.0,473.0,107.14285714285714,6029.285714285715,786.0,0.07845042056628361,0.13631406761177753,114,121.71428571428571,214.0,315.7142857142857,521.7142857142857,0.3855203619909502,0.4101861993428259,4.0,5.285714285714286,25.285714285714285,16.857142857142858,68.28571428571429,0.3135593220338983,0.37029288702928864,0.18468357547402117,0.8153164245259789
15.0,79.0,88.0,54.0,0.0,0.0,6.0,22.0,2021-01-17,0,9,105,206,17/01/21,182.0,445.85714285714283,104.42857142857143,6029.285714285715,786.0,0.07394858429096078,0.13286077789894585,114,118.71428571428571,212.28571428571428,315.7142857142857,521.7142857142857,0.3760180995475113,0.4069003285870756,6.0,5.857142857142857,23.571428571428573,16.857142857142858,68.28571428571429,0.34745762711864403,0.34518828451882844,0.1897715472481828,0.8102284527518173
29.0,87.0,138.0,66.0,0.0,0.0,6.0,13.0,2021-01-18,0,9,106,207,18/01/21,254.0,433.85714285714283,99.71428571428571,6029.285714285715,786.0,0.07195829877976542,0.12686295892402763,115,116.42857142857143,210.57142857142858,315.7142857142857,521.7142857142857,0.36877828054298645,0.4036144578313254,6.0,5.857142857142857,20.714285714285715,16.857142857142858,68.28571428571429,0.34745762711864403,0.303347280334728,0.18688085676037483,0.8131191432396252
41.0,175.0,251.0,69.0,0.0,0.0,2.0,28.0,2021-01-19,0,8,108,204,19/01/21,467.0,401.14285714285717,90.0,6029.285714285715,786.0,0.06653240137424475,0.11450381679389313,116,115.42857142857143,209.14285714285714,315.7142857142857,521.7142857142857,0.36561085972850677,0.40087623220153346,2.0,5.428571428571429,21.571428571428573,16.857142857142858,68.28571428571429,0.3220338983050848,0.3158995815899582,0.18324607329842932,0.8167539267015707
41.0,165.0,214.0,92.0,0.0,0.0,5.0,22.0,2021-01-20,0,9,103,188,20/01/21,420.0,384.42857142857144,84.14285714285714,6029.285714285715,786.0,0.06376021798365122,0.10705198109778262,112,114.0,204.85714285714286,315.7142857142857,521.7142857142857,0.3610859728506787,0.39266155531215774,5.0,5.285714285714286,22.0,16.857142857142858,68.28571428571429,0.3135593220338983,0.3221757322175732,0.1795731707317073,0.8204268292682928
47.0,152.0,215.0,84.0,0.0,0.0,1.0,24.0,2021-01-21,0,9,99,185,21/01/21,414.0,375.57142857142856,80.14285714285714,6029.285714285715,786.0,0.06229119772538798,0.10196292257360959,108,113.14285714285714,200.71428571428572,315.7142857142857,521.7142857142857,0.3583710407239819,0.3847207009857613,1.0,4.142857142857143,22.0,16.857142857142858,68.28571428571429,0.2457627118644068,0.3221757322175732,0.17586206896551726,0.8241379310344829
48.0,173.0,227.0,111.0,0.0,1.0,6.0,21.0,2021-01-22,0,8,93,187,22/01/21,448.0,370.14285714285717,82.85714285714286,6029.285714285715,786.0,0.06139083047032342,0.1054162122864413,101,111.42857142857143,198.0,315.7142857142857,521.7142857142857,0.35294117647058826,0.3795180722891567,7.0,4.428571428571429,20.857142857142858,16.857142857142858,68.28571428571429,0.2627118644067797,0.305439330543933,0.18290760012614318,0.8170923998738568
38.0,214.0,243.0,111.0,0.0,0.0,1.0,23.0,2021-01-23,0,8,103,181,23/01/21,495.0,382.85714285714283,83.85714285714286,6029.285714285715,786.0,0.06349958535718515,0.10668847691748455,111,111.0,194.0,315.7142857142857,521.7142857142857,0.3515837104072398,0.37185104052573936,1.0,4.0,21.857142857142858,16.857142857142858,68.28571428571429,0.23728813559322035,0.3200836820083682,0.17967554331190697,0.8203244566880931
