Country,House_Price_Index_2015_2025
Αυστρία,167.34
Βέλγιο,144.84
Βουλγαρία,249.19
Κύπρος,150.9
Τσεχία,245.1
Γερμανία,152.67
Δανία,152.84
Εσθονία,220.7
Ελλάδα,178.32
Ισπανία,180.6
E.E.,161.92
Φινλανδία,99.02
Γαλλία,127.26
Κροατία,227.07
Ουγγαρία,366.57
Ιρλανδία,197.2
Ιταλια,116.14
Λιθουανία,258.13
Λουξεμβούργο,165.13
Λετονία,214.04
Μάλτα,173.55
Ολλανδία,215.15
Πολωνία,216.78
Πορτογαλία,263.85
Ρουμανία,164.8
Σουηδία,133.4
Σλοβενία,214.87
Σλοβακία,204.21
