Country_Code,Residential_Construction_Pct_Gdp_2025,Country_Name
AT,5.1,Αυστρία
BE,4.8,Βέλγιο
BG,4.2,Βουλγαρία
CY,8.2,Κύπρος
CZ,5.8,Τσεχία
DE,6.1,Γερμανία
DK,3.8,Δανία
EE,4.1,Εσθονία
EL,3.1,Ελλάδα
ES,5.8,Ισπανία
FI,4.3,Φινλανδία
FR,5.8,Γαλλία
HR,4.3,Κροατία
HU,2.8,Ουγγαρία
IE,4.1,Ιρλανδία
IT,4.4,Ιταλια
LT,3.3,Λιθουανία
LU,2.9,Λουξεμβούργο
LV,2.5,Λετονία
MT,3.6,Μάλτα
NL,5.4,Ολλανδία
PL,2.2,Πολωνία
PT,4.7,Πορτογαλία
RO,3.0,Ρουμανία
SE,3.1,Σουηδία
SI,2.5,Σλοβενία
SK,2.9,Σλοβακία
