Country_Code,Residential_Construction_Pct_Gdp_2024,Country_Name
AT,5.3,Αυστρία
BE,5.1,Βέλγιο
BG,2.7,Βουλγαρία
CY,8.6,Κύπρος
CZ,5.6,Τσεχία
DE,6.2,Γερμανία
DK,4.7,Δανία
EE,4.3,Εσθονία
EL,2.3,Ελλάδα
ES,5.7,Ισπανία
FI,4.7,Φινλανδία
FR,5.8,Γαλλία
HR,4.2,Κροατία
HU,3.3,Ουγγαρία
IE,3.4,Ιρλανδία
IT,6.8,Ιταλια
LT,3.5,Λιθουανία
LU,3.0,Λουξεμβούργο
LV,3.0,Λετονία
MT,3.7,Μάλτα
NL,5.2,Ολλανδία
PL,2.0,Πολωνία
PT,3.9,Πορτογαλία
RO,2.7,Ρουμανία
SE,3.0,Σουηδία
SI,2.8,Σλοβενία
SK,3.5,Σλοβακία
